year,round_of,winning_team_name,winning_team_seed,winning_team_score,losing_team_name,losing_team_seed,losing_team_score
1990,16,Minnesota,6,82,Syracuse,2,75
1990,64,Ball State,12,54,Oregon State,5,53
1990,64,Loyola Marymount,11,111,New Mexico State,6,92
1990,32,Ball State,12,62,Louisville,4,60
1990,32,Loyola Marymount,11,149,Michigan,3,115
1990,32,Alabama,7,77,Arizona,2,55
1990,16,Loyola Marymount,11,62,Alabama,7,60
1989,64,Notre Dame,9,81,Vanderbilt,8,65
1989,64,Minnesota,11,86,Kansas State,6,75
1989,64,Siena,14,80,Stanford,3,78
1989,32,NC State,5,102,Iowa,4,96
1989,8,Duke,2,85,Georgetown,1,77
1989,64,Clemson,9,83,Saint Mary's,8,70
1989,64,DePaul,12,66,Memphis State,5,63
1989,64,Evansville,11,94,Oregon State,6,90
1989,16,UNLV,4,68,Arizona,1,67
1989,16,Seton Hall,3,78,Indiana,2,65
1989,64,Louisiana Tech,9,83,La Salle,8,74
1989,64,Middle Tennessee State,13,97,Florida State,4,83
1989,64,South Alabama,11,86,Alabama,6,84
1989,16,Virginia,5,86,Oklahoma,1,80
1989,16,Michigan,3,92,North Carolina,2,87
1989,64,Ball State,9,68,Pittsburgh,8,64
1989,64,Texas,11,76,Georgia Tech,6,70
1989,64,Colorado State,10,68,Florida,7,46
1989,4,Seton Hall,3,95,Duke,2,78
1989,4,Michigan,3,83,Illinois,1,81
1988,64,Richmond,13,72,Indiana,4,69
1988,64,Rhode Island,11,87,Missouri,6,80
1988,32,Richmond,13,59,Georgia Tech,5,55
1988,32,Rhode Island,11,97,Syracuse,3,94
1988,8,Duke,2,63,Temple,1,53
1988,64,Memphis,9,75,Baylor,8,60
1988,64,Murray State,14,78,NC State,3,75
1988,32,Vanderbilt,7,80,Pittsburgh,2,74
1988,16,Kansas State,4,73,Purdue,1,70
1988,8,Kansas,6,71,Kansas State,4,58
1988,32,Louisville,5,97,BYU,4,76
1988,32,Villanova,6,66,Illinois,3,63
1988,64,Loyola Marymount,10,119,Wyoming,7,115
1988,32,Iowa,5,104,UNLV,4,86
1988,4,Kansas,6,66,Duke,2,59
1988,2,Kansas,6,83,Oklahoma,1,79
1987,64,Michigan,9,97,Navy,8,82
1987,64,Western Kentucky,10,64,West Virginia,7,62
1987,32,Notre Dame,5,58,TCU,4,57
1987,32,Florida,6,85,Purdue,3,66
1987,8,Syracuse,2,79,North Carolina,1,75
1987,64,Ohio State,9,91,Kentucky,8,77
1987,64,Southwest Missouri State,13,65,Clemson,4,60
1987,64,Austin Peay,14,68,Illinois,3,67
1987,16,Providence,6,103,Alabama,2,82
1987,8,Providence,6,88,Georgetown,1,73
1987,64,Xavier,13,70,Missouri,4,69
1987,64,LSU,10,85,Georgia Tech,7,79
1987,32,LSU,10,72,Temple,2,62
1987,16,LSU,10,63,DePaul,3,58
1987,64,Kansas State,9,82,Georgia,8,79
1987,64,Wyoming,12,64,Virginia,5,60
1987,32,Wyoming,12,78,UCLA,4,68
1987,32,Oklahoma,6,96,Pittsburgh,3,93
1986,64,DePaul,12,72,Virginia,5,68
1986,64,Cleveland State,14,83,Indiana,3,79
1986,32,DePaul,12,74,Oklahoma,4,69
1986,32,Cleveland State,14,75,Saint Joseph's,6,69
1986,32,Navy,7,97,Syracuse,2,85
1986,64,Temple,9,61,Jacksonville,8,50
1986,64,Arkansas–Little Rock,14,90,Notre Dame,3,83
1986,32,Michigan State,5,80,Georgetown,4,68
1986,32,Iowa State,7,72,Michigan,2,69
1986,64,LSU,11,94,Purdue,6,87
1986,64,Villanova,10,71,Virginia Tech,7,62
1986,32,Alabama,5,58,Illinois,4,56
1986,16,LSU,11,70,Georgia Tech,2,64
1986,8,LSU,11,59,Kentucky,1,57
1986,32,Auburn,8,81,St. John's,1,65
1986,16,Auburn,8,70,UNLV,4,63
1986,2,Louisville,2,72,Duke,1,69
1985,64,Virginia Tech,9,87,Temple,8,60
1985,64,Arkansas,9,63,Iowa,8,54
1985,64,Kentucky,12,66,Washington,5,58
1985,64,UTEP,11,79,Tulsa,6,75
1985,32,Kentucky,12,64,UNLV,4,61
1985,32,Alabama,7,63,VCU,2,59
1985,64,Navy,13,78,LSU,4,55
1985,64,Auburn,11,59,Purdue,6,58
1985,32,Villanova,8,59,Michigan,1,55
1985,32,Auburn,11,66,Kansas,3,64
1985,16,Villanova,8,46,Maryland,5,43
1985,8,Villanova,8,56,North Carolina,2,44
1985,64,Illinois State,9,58,USC,8,55
1985,64,Boston College,11,55,Texas Tech,6,53
1985,32,Louisiana Tech,5,79,Ohio State,4,67
1985,32,Boston College,11,74,Duke,3,73
1985,8,Memphis State,2,63,Oklahoma,1,61
1985,4,Villanova,8,52,Memphis St. ,2,45
1985,2,Villanova,8,66,Georgetown,1,64
